filename,filepath,class,date,time,datetime,hive
12-08-2021_14h00_HIVE-3690.WAV,training\data\healthy\12-08-2021_14h00_HIVE-3690.WAV,healthy,2021-08-12,14:00,2021-08-12 14:00,3690
12-08-2021_16h30_HIVE-3631.WAV,training\data\healthy\12-08-2021_16h30_HIVE-3631.WAV,healthy,2021-08-12,16:30,2021-08-12 16:30,3631
12-08-2021_17h15_HIVE-3693.WAV,training\data\healthy\12-08-2021_17h15_HIVE-3693.WAV,healthy,2021-08-12,17:15,2021-08-12 17:15,3693
12-08-2021_18h15_Hive-6.wav,training\data\healthy\12-08-2021_18h15_Hive-6.wav,healthy,2021-08-12,18:15,2021-08-12 18:15,6
12-08-2021_19h45_HIVE-3693.WAV,training\data\healthy\12-08-2021_19h45_HIVE-3693.WAV,healthy,2021-08-12,19:45,2021-08-12 19:45,3693
12-08-2021_21h45_HIVE-3628.wav,training\data\unhealthy\12-08-2021_21h45_HIVE-3628.wav,unhealthy,2021-08-12,21:45,2021-08-12 21:45,3628
12-08-2021_22h00_HIVE-3627.wav,training\data\healthy\12-08-2021_22h00_HIVE-3627.wav,healthy,2021-08-12,22:00,2021-08-12 22:00,3627
12-08-2021_22h45_HIVE-3628.wav,training\data\healthy\12-08-2021_22h45_HIVE-3628.wav,healthy,2021-08-12,22:45,2021-08-12 22:45,3628
13-08-2021_00h45_HIVE-3629.WAV,training\data\healthy\13-08-2021_00h45_HIVE-3629.WAV,healthy,2021-08-13,00:45,2021-08-13 00:45,3629
13-08-2021_02h15_Hive-6.wav,training\data\healthy\13-08-2021_02h15_Hive-6.wav,healthy,2021-08-13,02:15,2021-08-13 02:15,6
13-08-2021_02h45_Hive-6.wav,training\data\healthy\13-08-2021_02h45_Hive-6.wav,healthy,2021-08-13,02:45,2021-08-13 02:45,6
13-08-2021_02h45_HIVE-3628.wav,training\data\unhealthy\13-08-2021_02h45_HIVE-3628.wav,unhealthy,2021-08-13,02:45,2021-08-13 02:45,3628
13-08-2021_03h15_HIVE-3629.WAV,training\data\healthy\13-08-2021_03h15_HIVE-3629.WAV,healthy,2021-08-13,03:15,2021-08-13 03:15,3629
13-08-2021_05h15_Hive-6.wav,training\data\healthy\13-08-2021_05h15_Hive-6.wav,healthy,2021-08-13,05:15,2021-08-13 05:15,6
13-08-2021_06h15_HIVE-3629.WAV,training\data\healthy\13-08-2021_06h15_HIVE-3629.WAV,healthy,2021-08-13,06:15,2021-08-13 06:15,3629
13-08-2021_07h30_HIVE-3691.wav,training\data\healthy\13-08-2021_07h30_HIVE-3691.wav,healthy,2021-08-13,07:30,2021-08-13 07:30,3691
13-08-2021_09h15_HIVE-3628.wav,training\data\healthy\13-08-2021_09h15_HIVE-3628.wav,healthy,2021-08-13,09:15,2021-08-13 09:15,3628
13-08-2021_11h30_HIVE-3631.WAV,training\data\healthy\13-08-2021_11h30_HIVE-3631.WAV,healthy,2021-08-13,11:30,2021-08-13 11:30,3631
13-08-2021_12h15_HIVE-3628.wav,training\data\healthy\13-08-2021_12h15_HIVE-3628.wav,healthy,2021-08-13,12:15,2021-08-13 12:15,3628
13-08-2021_12h45_HIVE-3693.WAV,training\data\healthy\13-08-2021_12h45_HIVE-3693.WAV,healthy,2021-08-13,12:45,2021-08-13 12:45,3693
13-08-2021_14h15_HIVE-3629.WAV,training\data\healthy\13-08-2021_14h15_HIVE-3629.WAV,healthy,2021-08-13,14:15,2021-08-13 14:15,3629
14-08-2021_08h45_HIVE-3693.WAV,training\data\unhealthy\14-08-2021_08h45_HIVE-3693.WAV,unhealthy,2021-08-14,08:45,2021-08-14 08:45,3693
14-08-2021_16h15_HIVE-3628.wav,training\data\unhealthy\14-08-2021_16h15_HIVE-3628.wav,unhealthy,2021-08-14,16:15,2021-08-14 16:15,3628
16-08-2021_06h45_HIVE-3628.wav,training\data\unhealthy\16-08-2021_06h45_HIVE-3628.wav,unhealthy,2021-08-16,06:45,2021-08-16 06:45,3628
16-08-2021_18h30_HIVE-3691.wav,training\data\unhealthy\16-08-2021_18h30_HIVE-3691.wav,unhealthy,2021-08-16,18:30,2021-08-16 18:30,3691
17-08-2021_03h15_HIVE-3628.wav,training\data\unhealthy\17-08-2021_03h15_HIVE-3628.wav,unhealthy,2021-08-17,03:15,2021-08-17 03:15,3628
25-08-2021_09h15_HIVE-3693.wav,training\data\unhealthy\25-08-2021_09h15_HIVE-3693.wav,unhealthy,2021-08-25,09:15,2021-08-25 09:15,3693
26-08-2021_13h15_HIVE-3640.wav,training\data\unhealthy\26-08-2021_13h15_HIVE-3640.wav,unhealthy,2021-08-26,13:15,2021-08-26 13:15,3640
26-08-2021_16h15_HIVE-3693.wav,training\data\unhealthy\26-08-2021_16h15_HIVE-3693.wav,unhealthy,2021-08-26,16:15,2021-08-26 16:15,3693
28-08-2021_21h30_HIVE-3690.wav,training\data\unhealthy\28-08-2021_21h30_HIVE-3690.wav,unhealthy,2021-08-28,21:30,2021-08-28 21:30,3690
18-09-2021_11h00_HIVE-3631.WAV,training\data\unhealthy\18-09-2021_11h00_HIVE-3631.WAV,unhealthy,2021-09-18,11:00,2021-09-18 11:00,3631
18-09-2021_22h15_HIVE-3690.WAV,training\data\unhealthy\18-09-2021_22h15_HIVE-3690.WAV,unhealthy,2021-09-18,22:15,2021-09-18 22:15,3690
19-09-2021_02h45_HIVE-3692.WAV,training\data\unhealthy\19-09-2021_02h45_HIVE-3692.WAV,unhealthy,2021-09-19,02:45,2021-09-19 02:45,3692
19-09-2021_08h00_HIVE-3693.WAV,training\data\unhealthy\19-09-2021_08h00_HIVE-3693.WAV,unhealthy,2021-09-19,08:00,2021-09-19 08:00,3693
20-09-2021_10h00_HIVE-3693.WAV,training\data\unhealthy\20-09-2021_10h00_HIVE-3693.WAV,unhealthy,2021-09-20,10:00,2021-09-20 10:00,3693
20-09-2021_19h30_HIVE-3693.WAV,training\data\unhealthy\20-09-2021_19h30_HIVE-3693.WAV,unhealthy,2021-09-20,19:30,2021-09-20 19:30,3693
22-09-2021_08h30_HIVE-3693.WAV,training\data\unhealthy\22-09-2021_08h30_HIVE-3693.WAV,unhealthy,2021-09-22,08:30,2021-09-22 08:30,3693
23-09-2021_07h15_HIVE-3690.WAV,training\data\unhealthy\23-09-2021_07h15_HIVE-3690.WAV,unhealthy,2021-09-23,07:15,2021-09-23 07:15,3690
24-09-2021_17h45_HIVE-3690.WAV,training\data\unhealthy\24-09-2021_17h45_HIVE-3690.WAV,unhealthy,2021-09-24,17:45,2021-09-24 17:45,3690
25-09-2021_11h45_HIVE-3690.WAV,training\data\unhealthy\25-09-2021_11h45_HIVE-3690.WAV,unhealthy,2021-09-25,11:45,2021-09-25 11:45,3690
20-10-2021_00h45_HIVE-3692.wav,training\data\unhealthy\20-10-2021_00h45_HIVE-3692.wav,unhealthy,2021-10-20,00:45,2021-10-20 00:45,3692
22-10-2021_02h15_HIVE-3692.wav,training\data\unhealthy\22-10-2021_02h15_HIVE-3692.wav,unhealthy,2021-10-22,02:15,2021-10-22 02:15,3692
27-10-2021_22h00_HIVE-3692.wav,training\data\unhealthy\27-10-2021_22h00_HIVE-3692.wav,unhealthy,2021-10-27,22:00,2021-10-27 22:00,3692
28-10-2021_23h15_HIVE-3692.wav,training\data\unhealthy\28-10-2021_23h15_HIVE-3692.wav,unhealthy,2021-10-28,23:15,2021-10-28 23:15,3692
